pipeline_name,model_name,bin,count,min_score,max_score,mean_score,observed_rate,abs_calibration_error
resident_risk,logistic_regression,2,77,7.212105333623642e-05,0.00013386261541000613,9.577640917040901e-05,0.0,9.577640917040901e-05
resident_risk,logistic_regression,3,78,0.0001377161425254091,0.0003182286617955366,0.00021830347356767782,0.0,0.00021830347356767782
resident_risk,logistic_regression,4,78,0.0003302207078082878,0.000798937314339629,0.0005416226654070684,0.0,0.0005416226654070684
resident_risk,logistic_regression,5,77,0.0008224340440926405,0.00250863093273943,0.0014728464233203394,0.0,0.0014728464233203394
resident_risk,logistic_regression,6,78,0.0025416015804031232,0.019267459800216487,0.008175768321670362,0.0,0.008175768321670362
resident_risk,logistic_regression,7,77,0.01969028543453281,0.15442695093698183,0.07478431225568744,0.05194805194805195,0.022836260307635484
resident_risk,logistic_regression,8,78,0.15720857735628083,0.5145873954965254,0.3149808465367778,0.24358974358974358,0.07139110294703424
resident_risk,logistic_regression,9,78,0.514819140874848,0.9917008269036645,0.7088689098914017,0.16666666666666666,0.5422022432247351
social_media_conversion,random_forest_classifier,0,18,0.02,0.1,0.05444444444444444,0.0,0.05444444444444444
social_media_conversion,random_forest_classifier,1,15,0.11,0.21,0.15899999999999997,0.0,0.15899999999999997
social_media_conversion,random_forest_classifier,2,17,0.225,0.37,0.2985294117647059,0.11764705882352941,0.18088235294117647
social_media_conversion,random_forest_classifier,3,15,0.385,0.605,0.4906666666666667,0.4666666666666667,0.02400000000000002
social_media_conversion,random_forest_classifier,4,17,0.64,0.88,0.7944117647058823,0.9411764705882353,0.14676470588235302
social_media_conversion,random_forest_classifier,5,18,0.885,0.945,0.9155555555555556,0.9444444444444444,0.028888888888888853
social_media_conversion,random_forest_classifier,6,16,0.95,0.965,0.9565625,0.9375,0.019062499999999982
social_media_conversion,random_forest_classifier,7,17,0.97,0.98,0.9755882352941176,1.0,0.024411764705882355
social_media_conversion,random_forest_classifier,8,20,0.985,0.995,0.99175,1.0,0.00824999999999998
social_media_conversion,random_forest_classifier,9,10,1.0,1.0,1.0,1.0,0.0
